Marco;Ano;Instituições;Países;Comentários
Emulador satélite Corot;2003;Observatório de Paris (OBSPM) / Instituto de Astronomia, Geofísica e Ciências Atmosféricas (IAG);França;Vanderlei possuia uma bolsa CAPES de Pós-Doc, e ficou um ano como pesquisador visitante no OBSPM trabalhando com emulação para o satélite Corot
1º FAPESP Regular;2006;Fundação de Amparo à Pesquisa do Estado de São Paulo (FAPESP);;Auxílio Regular FAPESP para filtragem dos dados para o segmento de solo do Corot
Participação CNES;2007;Centro Nacional de Estudos Espaciais (CNES);França;Vanderlei realizou curso presenecial de TTVS do CNES em Toulose na França
Bolsa de Pesquisa;2007;;;Vanderlei teve bolsa FAPESP para ficar 1 mês na França trabalhando no Corot
Bolsa de Iniciação Científica;2007;;;Aluno do IMT a partir de uma IC desenvolveu um simulador de câmera (primórdios do SimuCam),
Participação CNRS;2008;Centro Nacional de Pesquisa Científica (CNRS);França;CNRS aprovou recursos para Vanderlei ir para França discutir continuidade da cooperação do Corot em novos projetos. Ideia de aplicar ao Plato surge aqui.
FAPESP;2008;FAPESP;;Proposta apresentada a FAPESP para continuidade da cooperação do Corot em novos projetos
AEB - UNIESPAÇO (Cubesats);2009;Agência Espacial Brasileira (AEB);;Projeto de Pesquisa aprovado na AEB para desenvolver Cubestats. Projeto em questão foi monitoramento de tartarugas via Cubesat.
CNPq - INEspaço - UFRN e IAG;2009;Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) / Universidade Federal do Rio Grande do Norte (UFRN) / IAG;;Projeto aprovado do CNPq onde a primeira verba para o projeto Plato é aprovada
Plato - SimuCam;2010;OBSPM;França;Franceses vem para o Brasil fazer um seminário relacionado ao Plato.
Michel Auvergne;2010;OBSPM;França;No contexto da cooperação acima (Participação CNRS) Michel vem ao Brasil fazer um seminário de ciência no IMT
TCC Spacewire - SimuCam;2011;;França;Primeira entrega oficial do SimuCam pelo IMT ao OBSPM, onde alunos de TCC e professores apresentam o resultado na França.
;2012;;;
DLR, ESA e Plato - SimuCam;2013;Centro Aeroespacial Alemão (DLR) / Agência Espacial Europeia (ESA);Alemanha;DLR se interessa pelo trabalho do SimuCam desenvolvido com o OBSPM e pede uma aplicação customizada para seu desenvolvimento. Sempre por meio de cartas de intenção.
Projeto CITAR - SimuCam;2013;Centro de Tecnologia da Informática Renato Archer (CTI) / Instituto Nacional de Pesquisas Espaciais (INPE) / AEB / Instituto de Física da Universidade de São Paulo (IFUSP) / Instituto de Estudos Avançados (IEAv) / Centro Universitário FEI (FEI);Brasil;Projeto FINEP envovlendo uma rede de Instituições brasileiras em área sensível. 
;2014;;;
1º Brafitec - CAPES;2015;Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES);França;"Aprovação de um projeto Capes, liderado pela Mauá: SEAC – Sistemas Eletrônicos Embarcados para Aplicações Críticas :  uma experiência para o desenvolvimento de hardware e software
"
Intercambio de Nemer a França;2015;École des Mines de Saint-Étienne;França;O projeto apresentou diversas inovações: envolvimento de empresa, experiência acadêmica integrada com experiência corporativa, balanço entre homens e mulheres e balanço entre brasileiros e franceses. O projeto foi explicitamente elogiado pela Capes.
Duplo Diploma Engenharia;2015;École des Mines de Saint-Étienne;França;Atualmente temos um programa de duplo diploma com uma das mais prestigiadas escolas da França. Comparar o sistema francês ao sistema Universitário padrão.
Contato com Thales Group França;2015;Thales Group;França;Alunos franceses desenvolveram projetos de P&D em parceria com a Thales Brasil e, em paralelo, desenvolveram uma arquitetura completa de CubeSat para a Mauá.
Contato com Consulado da França;2015;Consulado da França em São Paulo;França;A partir deste momento ivemos uma forte aproximação com o Consulado da França, gerando um matéria de revista e um podcast sobre cooperação Brasil Franca.
Instrumento NIRPS;2015;Observatório de Genebra;Suiça;O sucesso da participação no CoRoT e em novas ações Brasil-França gerou um convite para participarmos em um projeto para os telescópios VLT do ESO.
CNPq;2015;Plato;Brasil;Bolsa de produtividade em desenvolvimento tecnológico
Todo mundo?;2016;;;
Extremely Large Telescope (ESO) - Instrumento HIRES;2016;European Southern Observatory;União Europeia / Itália;Cooperando com a Universidade de Firenze trabalhamos na defesa do instrumento HIRES, atualmente ANDES, para o ELT - Europeu. A participação da Mauá foi elogiada e contribuiu para a aprovação do instrumento para a afase-B.
Romano Curso;2017;;;Primeiro curso internacional oferecido aos alunos da EMSE na semana de tecnologia. Curso na área de controle embarcado.
Trabalho com GMT;2018;Giant Magellan Telescope Organization (GMTO);Estados Unidos;Inicio do primeiro trabalho com o GMT em cooperação com o Observatório Carnegie - Pasadena na California.
Pós-Doutorado Romano;2018;;;Aprovação de bolsa Fapesp e bolsa GMTO para o pós-doutorado do Professor Rodrigo Romano no projeto GMT.
CNPq;2018;Plato;Brasil;Bolsa de produtividade em desenvolvimento tecnológico - renovação
Trabalho com Carnegie Institute;2019;Carnegie Institute;Estados Unidos;Conclusão do projeto com o Carnegie e inicio de tratativas de um contrato de três anos com o GMT.
SimuCam;2019;LESIA;França;Primeira integração do SimuCam com aa equipe francesa que aconteceu na Mauá em janeiro de 2019 - fotos no flikr
Saúde Pública;2020;FSPUSP;Brasil;Criação da área de CDIA para aplicação em saúde
Saúde Pública;2020;Swansea University;UK;Análise de risco a partir de ciclos circadianos
Trabalho com Harvard;2021;Harvard;Estados Unidos;Após o acerto de um financiamento de pesquisa de USD 500.000,00 começamos a trabalhar com a Universidade de Harvard.
Entrega final do SimuCam;2022;Instituto Nacional de Astrofísica da Itália (INAF) / DLR / OBSPM / Centro Aeroespacial Austríaco (IWF) ;Itália, Alemanha, França, Austria;Entrega final do SimuCam pelos engenheiros Rodrigo França e Daniel Gueter visitanto todos os paises parceiros.
Klabin;2023;Análsie de acidentes;Brasil;Conclusão do trabalho com a Klabin - 
1st BSATA - Brazilian School of Aerospace Technology and Astronomy;2023;;;Realização do promeiro evento com os principais parceiros do NSEE.
MCTI;2023;Ministério de Ciência e Tecnologia e Inovação (MCTI);;Aproximação com o MCTI 
Veritas (NASA) e JPL;2023;NASA e JPL;Estados Unidos;Convite para participarmos das missões EnVision e Veritas fruto do relacionamento da Mauá com oDLR
IA;2023;FSPUSP;Brasil;PublicaÇão da revista Nature de trabalho de CDIA na análise de dados de coloretal
GMT;2024;Contrato de sofwtare;EUA;Segundo contrato com o GMT no valor de USD 140.000,00
Reunião com presidente da AEB;2024;AEB;;Aproximação com a AEB
Projeto EnVision;2024;ESA / DLR / Max Planck Institute;União Europeia / Alemanha;Oficialização da participação no projeto EnVision. Professor Roberto Menezes integra equipe de cientistas que coordenam a missão. Golden Ticket!
2º Brafitec - CAPES;2025;CAPES;França;Realização do segundo evento com os principais parceiros do NSEE.
Interação com CentraleSupelec;2025;CentraleSupelec;França;Após aproximação com a CentraleSuepelec tivemos a aprovação do segundo projeto Brafitec. 12 alunos da Mauá serão beneficiados e 36 brasileiros no total.
